Geography,Gender,NumOfProducts,HasCrCard,IsActiveMember,Exited,CreditScore,Age,Tenure,Balance,EstimatedSalary
France,Female,1,1,1,1,-0.3262214220367463,0.2935174228967471,-1.0417596792253108,-1.2258476714090278,0.021886493995386117
Spain,Female,1,0,1,0,-0.4400359548576657,0.1981638321954454,-1.3875375865624426,0.11735002143511059,0.21653375188734025
France,Female,3,1,0,1,-1.536794180222889,0.2935174228967471,1.03290776479748,1.3330533457228904,0.24068690006348814
France,Female,2,0,0,0,0.5015206348426676,0.0074566507928420294,-1.3875375865624426,-1.2258476714090278,-0.10891791702847127
Spain,Female,1,1,1,0,2.063883767202561,0.38887101359804876,-1.0417596792253108,0.7857278997960591,-0.36527578251440274
Spain,Male,2,1,0,1,-0.05720525355093678,0.48422460429935044,1.03290776479748,0.5973285944410414,0.8636502870218095
France,Male,2,1,1,0,1.7741740472947665,1.0563461485071606,0.6871298574603482,-1.2258476714090278,-1.5654872211931183
Germany,Female,4,1,0,1,-2.840487919807966,-0.9460792562201749,-0.35020386455104724,0.6180189508533646,0.33485372981012046
France,Male,2,0,1,0,-1.5471409559338818,0.48422460429935044,-0.35020386455104724,1.0508202865849028,-0.4373288460949081
France,Male,1,1,1,0,0.3463189991777775,-1.1367864376227783,-1.0417596792253108,0.9314633619936777,-0.49323048409247083
France,Male,2,0,0,0,-1.2677780117370796,-0.7553720748175714,0.3413519501232164,0.409185402285092,-0.34619970089236274
Spain,Male,2,1,0,0,-1.5885280587778525,-1.4228472097266833,-0.695981771888179,-1.2258476714090278,-0.412123315592307
France,Female,2,1,0,0,-1.8058103487086987,-0.4693113027136664,1.7244635794717436,-1.2258476714090278,-1.283817056739873
France,Female,2,0,0,0,-1.0504957218062334,-1.3274936190253817,-0.004425957213915414,-1.2258476714090278,1.5783569986897874
Spain,Female,2,1,1,0,-0.1606730106608635,-0.3739577120123647,0.6871298574603482,-1.2258476714090278,-0.5936359656444845
Germany,Male,2,0,1,0,-0.3572617491697243,0.5795781950006521,-0.695981771888179,1.0681029591182611,-0.6218824846013182
Germany,Male,1,1,0,1,0.025568952137004615,1.8191748741175742,-1.3875375865624426,0.8993931172292712,-1.651825870574206
Spain,Female,2,1,1,0,-1.0504957218062334,-1.4228472097266833,1.378685672134612,-1.2258476714090278,-1.4899561835690913
Spain,Male,1,0,0,0,-0.6573182447885119,0.5795781950006521,0.3413519501232164,-1.2258476714090278,1.0189010247747559
France,Female,2,1,1,0,0.7808835790394698,-1.4228472097266833,0.3413519501232164,-1.2258476714090278,-0.7888730584424746
France,Male,2,1,1,0,0.8429642333054258,0.1981638321954454,1.03290776479748,-1.2258476714090278,1.2310704831801604
Spain,Female,2,1,0,0,-0.15032623494987085,-0.6600184841162697,1.03290776479748,-1.2258476714090278,0.6688717421740601
Spain,Female,1,1,0,1,-1.4540199745349478,-0.08789693990845966,-0.35020386455104724,-1.2258476714090278,0.32731820632749364
France,Male,2,0,1,0,0.19111736351288738,0.6749317857019538,-0.695981771888179,-1.2258476714090278,-1.5928757668520803
France,Female,1,1,1,0,2.0224966643585907,-0.08789693990845966,-0.004425957213915414,-1.2258476714090278,1.5219882921316075
France,Male,2,0,1,0,-0.7607860018984386,-1.3274936190253817,-0.695981771888179,-1.2258476714090278,0.42460549226186645
Germany,Male,1,1,1,0,1.09128685036925,-0.27860412131106305,-1.0417596792253108,0.9669114802146295,1.2163903409521621
France,Male,2,0,0,0,-0.8228666561643946,0.48422460429935044,1.378685672134612,-1.2258476714090278,-1.0721517054667205
Germany,Female,1,1,1,0,-0.7918263290314166,0.38887101359804876,-0.695981771888179,1.0395750259469725,0.001690039053891126
France,Male,2,1,1,0,-2.4783507699232223,-0.9460792562201749,-1.7333154938995745,-0.2690746311079832,-0.8104496783748915
Spain,Female,3,1,0,1,-0.6159311419445411,0.0074566507928420294,-0.695981771888179,-1.2258476714090278,0.7021528985231289
France,Male,1,0,1,0,-1.2160441331821163,-0.27860412131106305,0.6871298574603482,0.14145222877469335,0.9849420451757676
Germany,Male,2,0,0,0,-1.0091086189622627,0.1981638321954454,1.378685672134612,0.5389379904752859,-0.31633078816391447
Spain,Female,2,1,1,0,-1.350552217425021,0.2935174228967471,0.3413519501232164,-1.2258476714090278,-1.1421041777545031
Spain,Female,2,1,1,0,0.7394964761954991,-0.9460792562201749,1.378685672134612,-1.2258476714090278,0.7293439051333712
France,Female,1,1,0,1,-1.8161571244196912,0.5795781950006521,-1.7333154938995745,0.9260167093296419,-1.2566552636509198
Spain,Male,1,0,1,0,-1.6609554887548013,-0.7553720748175714,-0.695981771888179,1.1022538431506914,0.2430378929672636
Spain,Male,1,0,1,0,1.5879320844968983,-0.5646648934149681,0.6871298574603482,0.00100507140589216,-0.028462140497060744
France,Male,1,1,1,0,2.063883767202561,-0.27860412131106305,0.6871298574603482,-1.2258476714090278,-1.030773708690248
Germany,Male,2,0,1,0,-0.7090521233434752,0.1981638321954454,0.3413519501232164,-0.09834889947063385,1.3560603601273575
Spain,Male,1,1,0,0,-1.8471974515526692,0.10281024149414371,-0.35020386455104724,-1.2258476714090278,-0.5205574726887156
France,Female,1,0,0,1,-1.919624881529618,1.1516997392084622,1.03290776479748,0.7378308850642105,1.4121157168917053
France,Female,1,1,1,0,-0.9780682918292848,2.105235646221479,-1.0417596792253108,0.6560450295292659,-0.10322823597732225
France,Female,1,0,0,1,1.8983353558266787,0.9609925578058589,-1.0417596792253108,0.8800272410904766,1.6393570917124016
Spain,Female,1,1,1,0,0.09799638211395333,2.105235646221479,-0.004425957213915414,1.2732771981989726,1.0128771271288544
Germany,Female,2,1,1,0,1.2982223645891036,-0.6600184841162697,-0.35020386455104724,0.5278566871606641,0.45954295093404635
Germany,Female,1,1,1,1,1.8466014772717152,-1.1367864376227783,1.378685672134612,0.5699204753635505,0.3411368974574667
Germany,Female,1,1,1,1,-0.13997945923887817,0.0074566507928420294,1.378685672134612,0.983389912427009,0.3048737013667674
Germany,Male,1,0,1,0,-1.040148946095241,-0.08789693990845966,-1.0417596792253108,0.431217227706301,-0.16018938579165296
Germany,Female,2,1,0,0,1.2982223645891036,-0.18325053060976135,-1.0417596792253108,0.4372729105057929,1.6347204885477364
Germany,Male,2,1,0,0,0.49117385913167494,0.48422460429935044,1.7244635794717436,0.6391207231492967,1.7035816271473465
Germany,Male,2,0,0,0,-0.6780117962104972,-0.27860412131106305,-0.004425957213915414,1.1149271191851775,-0.23763234405007433
France,Female,2,0,0,0,1.4223836731210155,-0.5646648934149681,-0.004425957213915414,-1.2258476714090278,0.2936645775819838
Germany,Male,1,0,0,1,0.04626250355898996,0.1981638321954454,1.03290776479748,0.7865476864126004,1.1120387734559636
Germany,Male,1,1,0,1,-0.5124633848346144,0.2935174228967471,-1.3875375865624426,0.3527539521024455,-1.0446525657628767
France,Male,1,1,1,0,-0.3262214220367463,0.38887101359804876,-1.3875375865624426,0.7809373969674327,0.23162583954352245
France,Male,1,1,0,0,0.05660927926998263,0.5795781950006521,-0.004425957213915414,0.8234489825909674,-0.22575565652582366
Germany,Male,1,0,0,0,0.7705368033284771,-1.8996151632331917,-1.7333154938995745,-0.009579231263980102,-0.947291724355257
Spain,Female,1,1,0,1,-1.443673198823955,2.5820035997279875,-0.35020386455104724,-1.2258476714090278,-1.7118972170658242
France,Male,1,1,1,0,-0.3779553005917097,1.1516997392084622,-0.35020386455104724,-0.5737700038102944,-0.9270938782937008
Germany,Male,1,0,0,0,0.9464319904153525,-0.3739577120123647,-0.004425957213915414,0.9675743614357466,-0.27093228051997187
Germany,Female,2,0,0,0,0.3773593263107555,-1.1367864376227783,1.378685672134612,1.215543865966245,0.45914926395666855
Spain,Male,2,0,0,0,-0.9884150675402774,-0.5646648934149681,-1.3875375865624426,-0.3269722412061958,1.3686515616931476
Spain,Male,1,1,1,0,0.3463189991777775,1.6284676927149706,1.03290776479748,0.03560054743720522,-0.012031099781775616
Germany,Male,1,1,1,0,-0.4917698334126291,-1.23214002832408,-0.35020386455104724,0.5237736209156963,-0.1260627762252652
Germany,Female,2,1,1,0,1.0395529718142866,-0.27860412131106305,0.3413519501232164,1.496059620393335,-1.2577791147705282
Germany,Female,1,1,0,0,-0.7193988990544679,-0.4693113027136664,-1.3875375865624426,0.4030361211700456,0.17982435403694502
Germany,Male,2,1,1,0,0.8740045604384039,0.38887101359804876,1.7244635794717436,0.748371754269159,1.6794825587635858
Germany,Female,2,0,1,0,0.10834315782494601,-0.3739577120123647,-0.004425957213915414,1.1898468010272087,0.23590979377262114
France,Female,1,1,0,0,0.25319801777884343,-1.7089079818305883,1.03290776479748,0.35079127235539426,-1.4239372771449408
Germany,Male,4,1,0,1,0.9050448875713819,1.8191748741175742,-1.0417596792253108,0.9177050506915502,-1.2470761847980885
France,Male,1,1,0,0,1.6810530658958325,-0.9460792562201749,0.3413519501232164,-1.2258476714090278,-1.150045386625037
Spain,Female,1,0,1,0,0.0669560549809753,-0.18325053060976135,-1.7333154938995745,1.396302407458702,-0.971813693237685
Germany,Female,2,1,1,0,-0.4814230577016364,-1.3274936190253817,-0.004425957213915414,1.3029230222109995,-0.7244854141803299
France,Male,2,0,1,0,-1.3608989931360136,-0.27860412131106305,1.378685672134612,-1.2258476714090278,0.7907154272123808
France,Female,2,1,0,0,0.8740045604384039,-1.7089079818305883,-1.3875375865624426,1.638488209226516,-1.3511643089326582
France,Male,2,1,1,0,0.13938348495792402,1.533114102013669,1.03290776479748,-1.2258476714090278,0.6794126066593463
France,Female,1,1,1,0,0.2842383449118215,-0.6600184841162697,1.378685672134612,-1.2258476714090278,0.836765674605092
Spain,Male,1,0,1,0,1.1016336260802426,-0.5646648934149681,-0.004425957213915414,0.012298092828129055,1.637163817045588
Germany,Female,2,1,0,0,-2.426616891368259,0.1981638321954454,1.7244635794717436,0.732499307041558,-0.03110248637360859
France,Female,2,0,0,0,0.1497302606689167,-0.4693113027136664,-1.3875375865624426,0.32310091589144596,1.240243007195046
France,Female,1,1,0,1,1.308569140300096,-0.6600184841162697,-1.0417596792253108,-1.2258476714090278,0.6324023125342576
France,Female,2,0,0,0,-1.1125763760721894,-0.27860412131106305,-0.695981771888179,-1.2258476714090278,-1.2880145876351567
France,Female,1,1,1,0,-1.4954070773789185,-0.4693113027136664,-0.35020386455104724,0.22152238230962296,1.0284733219172884
France,Female,2,1,0,0,-1.6299151616218233,0.6749317857019538,-0.35020386455104724,-1.2258476714090278,-1.7072969569127634
Spain,Female,2,1,1,0,0.01522217642601194,3.440185916039703,1.7244635794717436,-1.2258476714090278,0.25362744665469866
Spain,Male,1,1,0,1,1.029206196103294,-1.6135543911292867,-0.695981771888179,0.7243601000944535,0.4965100537758168
France,Male,2,1,0,0,0.8119239061724478,-0.8507256655188732,1.378685672134612,-1.2258476714090278,0.9003869856034099
France,Female,3,1,0,1,-0.0468584778399441,0.6749317857019538,-0.35020386455104724,-1.2258476714090278,-0.11892024415998563
Germany,Female,2,1,1,0,-0.1606730106608635,-1.0414328469214764,-0.695981771888179,0.0823437706045412,0.9859758212713994
Spain,Female,3,1,1,1,-0.036511702128951426,0.48422460429935044,-0.004425957213915414,-1.2258476714090278,1.2887854461777652
France,Male,2,1,0,0,1.629319187340869,0.5795781950006521,0.6871298574603482,0.6753929553061733,0.8180172017575125
France,Female,2,1,0,0,-1.3091651145810503,-0.27860412131106305,1.7244635794717436,-1.2258476714090278,0.16561858374988617
France,Male,2,1,1,0,1.2257949346121548,-0.9460792562201749,1.03290776479748,-1.2258476714090278,1.2554922914181668
Spain,Male,2,0,1,0,0.8222706818834405,0.2935174228967471,-0.35020386455104724,-1.2258476714090278,-0.24532002128941735
